name,price,Kategori
BERNARDI YONG TOFU INSTAN 300 GR,51500,Sayuran
WHITE OYSTER MUSHROOM PACK 100 GR,16580,Sayuran
Eat Me Fresh - Sayur Kangkung Hidroponik Fresh Vegetables Bebas Pestisida Kg,24150,Sayuran
KONGKE TAHU SUTRA 250 GRAM,12830,Sayuran
Labu Siam Besar - Sayur Kendal,21200,Sayuran
Brokoli Organik - Sayur Kendal,37050,Sayuran
Azaki Tempe Non GMO 400 gram,24500,Sayuran
Seledri Stick Import 1 pack Sayurbox,59500,Sayuran
CABE MERAH TW 240 GR - CABAI,25840,Sayuran
CABE HIJAU TW 250 GR,15550,Sayuran
SAKAKE TOFU TELUR 230 GR - TAHU,18190,Sayuran
KONGKE TOFU TELUR AYAM 140 GR - TAHU,9490,Sayuran
TOMAT TW SEGAR 500-600 GRAM,20760,Sayuran
JAMUR PERANCIS WHOLE PACK,18450,Sayuran
YUNYI TAHU PUTIH 4 PCS,20100,Sayuran
KING OYSTER MUSHROOM 400 GR,22600,Sayuran
CABE MERAH KRITING 250-270 GR,30560,Sayuran
BUNCIS TW 250-280 GR - SAYURAN,9790,Sayuran
Jamur Enokidake Pack 100 Gr,6310,Sayuran
Paket Tumis Oyong - Sayur Kendal,25000,Sayuran
White Oyster Mushroom Pack 100 Gr,18720,Sayuran
TERONG SAYUR 250-300 GRAM,6390,Sayuran
White Oyster Mushroom Pack 100 Gr,18720,Sayuran
Jamur Perancis Whole Pack,20320,Sayuran
KONGKE TOFU JEPUN PUTIH 250 GR,11220,Sayuran
KONGKE TOFU TELUR AYAM 140 GR,9620,Sayuran
BROWN SHIMEJI MUSHROOM PACK 150 GR,17500,Sayuran
TIMUN ACAR 280-300 GR - SAYUR,6150,Sayuran
TERONG LALAP HIJAU PACK 250 GR,9200,Sayuran
CABE MERAH KRITING 250-270 GR,30560,Sayuran
TIMUN ACAR 280-300 GR - SAYUR,6150,Sayuran
Jamur Perancis Sliced Pack 250 Gr,20320,Sayuran
Paket Sawi Gulung Tahu - Sayur Kendal,21000,Sayuran
CABE MERAH KRITING 250-270 GR,29440,Sayuran
Jamur Perancis Sliced Pack 250 Gr,20220,Sayuran
KONGKE TOFU TELUR SPECIAL 140 GR,9500,Sayuran
CABE RAWIT MERAH 100-120 GR,14500,Sayuran
BROWN SHIMEJI MUSHROOM PACK 150 GR,18720,Sayuran
SAYUR SAWI PUTIH 700-850 GRAM,31830,Sayuran
Kol Ungu Organik 500 gram Sayurbox,66800,Sayuran
KONGKE TOFU TELUR SPECIAL 140 GR,9620,Sayuran
KOL PUTIH 1200-1300 GR - SAYUR,20150,Sayuran
Pronas Jamur Kancing 400 gram Sayurbox,32700,Sayuran
Sakura Tahu Telur 240 gram,18700,Sayuran
Kol Putih Konvensional Sayurbox,14000,Sayuran
Jamur Snow White Impor Impor 1 pack Sayurbox,16900,Sayuran
TOMAT TW 500-600 GR - SAYUR,18480,Sayuran
HOKTO MUSHROOM WHITE PACK JAPAN,20050,Sayuran
KEMBANG KOL 500 GR,29610,Sayuran
JAMUR CHAMPIGNOT PACK 200 GR,21500,Sayuran
SAYUR PARE HIJAU 500-580 GRAM,14650,Sayuran
Kol Putih Konvensional Sayurbox,14000,Sayuran
Kongke Tofu Telur Special 140 Gr,10990,Sayuran
SAKAKE TOFU TELUR 230 GR - TAHU,17690,Sayuran
KONGKE TOFU JEPUN PUTIH 250 GR - TAHU,12600,Sayuran
Jamur Perancis Whole Pack,19600,Sayuran
KEMBANG KOL 500 GR,30840,Sayuran
JAMUR CHAMPIGNOT PACK 200 GR,23200,Sayuran
WHITE SHIMEJI MUSHROOM PACK 100 GR - JAMUR,18050,Sayuran
SAKAKE TOFU TELUR 150 GR,13210,Sayuran
SAWI PUTIH 700 GR,32650,Sayuran
Jamur Perancis Sliced Pack 250 Gr,17860,Sayuran
SAKAKE TOFU TELUR 150 GR,13210,Sayuran
KONGKE TAHU SUTRA 250 GR,13400,Sayuran
Paket Wortel Potong - Sayur Kendal,11000,Sayuran
Kongke Tofu Telur Special 140 Gr,9500,Sayuran
PARE HIJAU 500-580 GR - SAYUR,13280,Sayuran
SAWI PUTIH FRESH | Tambah Buah Sayur,29000,Sayuran
Selada Keriting Hidroponik 250 gram Amazing Farm,27000,Sayuran
KONGKE TOFU RASA UDANG 140 GR,9800,Sayuran
LABU SIAM BESAR 350 GR,7560,Sayuran
BABY SAWI PUTIH 300 GR,13800,Sayuran
Buncis - Sayur Kendal Fresh & Organic,10600,Sayuran
KONGKE TOFU RASA UDANG 140 GR,9940,Sayuran
Kongke Tofu Rasa Udang 140 Gr,11760,Sayuran
CABE RAWIT MERAH 100 GR - CABAI,18990,Sayuran
Kongke Tofu Jepun Putih 250Gr,13470,Sayuran
Jamur Kuping Konvensional 150 gram Sayurbox,8700,Sayuran
Lee Kum Kee Saus Saus Tiram Cap Panda Botol 510 gram Sayurbox,66800,Sayuran
Kol Ungu Konvensional 500 gram Sayurbox,42500,Sayuran
Kangkung Potong - Sayur Kendal,11000,Sayuran
TOMAT CHERRY MERAH PACK - SAYUR,17450,Sayuran
KONGKE TOFU TELUR SPECIAL 140 GR,11760,Sayuran
Paprika Kuning - Sayur Kendal,52900,Sayuran
White Oyster Mushroom Pack 100 Gr,18050,Sayuran
CABE HIJAU TW 250-270 GR - CABAI,15550,Sayuran
Jamur Tiram Pack 100 Gr,16900,Sayuran
HOKTO MUSHROOM BROWN PACK JAPAN - JAMUR,19100,Sayuran
SAWI PUTIH 700-850 GR - SAYUR,21800,Sayuran
BERNARDI YONG TOFU INSTAN 300 GR,51500,Sayuran
PARE HIJAU 500-580 GR - SAYUR,19110,Sayuran
Jamur Perancis Whole Pack,29730,Sayuran
KEMBANG KOL 500 GR,26790,Sayuran
Timun Acar 280 Gr,21300,Sayuran
Buncis TW 250 Gr,6560,Sayuran
Bundle - 2 x Tahu Bakso Bu Pendi Segitiga Isi 10 300 gram,41800,Sayuran
Kongke Tofu Telur Special 140 Gr,10900,Sayuran
CABE RAWIT HIJAU 100-120 GR,10370,Sayuran
CABE RAWIT MERAH 100 GR,18040,Sayuran
JAMUR PERANCIS WHOLE PACK,18950,Sayuran
KONGKE TOFU TELUR AYAM 140 GR - TAHU,9500,Sayuran
Kongke Tofu Telur Ayam 140 Gr,9900,Sayuran
CABE MERAH TW 250-270 GR - CABAI,27140,Sayuran
JAMUR ENOKIDAKE PACK 100 GR,5500,Sayuran
JAMUR ENOKIDAKE PACK 100 GR,6100,Sayuran
Jamur Tiram Pack 100 Gr,22850,Sayuran
CABE RAWIT MERAH 100-120 GR,12350,Sayuran
Jamur Perancis Whole Pack,20500,Sayuran
BUNCIS PERANCIS PACK,16700,Sayuran
CABE MERAH KRITING 250-270 GR,30560,Sayuran
KONGKE TAHU SUTRA 250 GR,12350,Sayuran
TOMAT TW 500-600 GR - SAYUR,18480,Sayuran
HOKTO MUSHROOM WHITE PACK JAPAN,20050,Sayuran
KEMBANG KOL 500 GR,29610,Sayuran
JAMUR CHAMPIGNOT PACK 200 GR,21500,Sayuran
SAYUR PARE HIJAU 500-580 GRAM,14650,Sayuran
KEMBANG KOL SEGAR 500-600 GR,38940,Sayuran
CABE RAWIT HIJAU 100 GR - CABAI,9670,Sayuran
Jamur Kuping Pack 100 Gr,6650,Sayuran
